Inbound Trailers, Outbound Trailers, Doors,population, iterations, iter, Objective, Solution time
25, 18, 6, 20, 1000, 1, 5323.5, 177.182189008
25, 18, 6, 20, 1000, 2, 5381.25, 180.716739183
25, 18, 6, 20, 1000, 3, 5125.5, 183.110765623
25, 18, 6, 20, 1000, 4, 4781.25, 178.822909362
25, 18, 6, 20, 1000, 5, 5094.75, 179.831186105
25, 18, 6, 20, 1000, 6, 5124.0, 168.080636185
25, 18, 6, 20, 1000, 7, 5212.5, 174.523242666
25, 18, 6, 20, 1000, 8, 5303.25, 176.248001125
25, 18, 6, 20, 1000, 9, 5763.75, 171.823056372
25, 18, 6, 20, 1000, 10, 5660.25, 181.794011265
25, 18, 6, 20, 1000, 11, 4921.5, 165.350224798
25, 18, 6, 20, 1000, 12, 5241.0, 162.359452485
25, 18, 6, 20, 1000, 13, 5153.25, 161.197311412
25, 18, 6, 20, 1000, 14, 4628.25, 168.619010222
25, 18, 6, 20, 1000, 15, 5926.5, 164.431421467
25, 18, 6, 20, 1000, 16, 5457.75, 160.59392054
25, 18, 6, 20, 1000, 17, 6484.5, 174.922385414
25, 18, 6, 20, 1000, 18, 4964.25, 176.742093466
25, 18, 6, 20, 1000, 19, 4219.5, 170.199490715
25, 18, 6, 20, 1000, 20, 5155.5, 174.442267943
25, 18, 6, 20, 1000, 21, 5326.5, 163.293742917
25, 18, 6, 20, 1000, 22, 5379.0, 178.519787929
25, 18, 6, 20, 1000, 23, 5205.75, 176.802456014
25, 18, 6, 20, 1000, 24, 8754.0, 161.874425406
25, 18, 6, 20, 1000, 25, 5517.0, 176.465623549
25, 18, 6, 20, 1000, 26, 4912.5, 175.907041205
25, 18, 6, 20, 1000, 27, 5522.25, 172.291423027
25, 18, 6, 20, 1000, 28, 4754.25, 172.670129133
25, 18, 6, 20, 1000, 29, 4850.25, 170.139883136
25, 18, 6, 20, 1000, 30, 5353.5, 164.537640482
25, 18, 6, 20, 1000, 31, 6022.5, 167.226078694
25, 18, 6, 20, 1000, 32, 5457.0, 165.165883976
25, 18, 6, 20, 1000, 33, 5004.75, 180.264639201
25, 18, 6, 20, 1000, 34, 4945.5, 163.416434575
25, 18, 6, 20, 1000, 35, 4614.75, 171.250927193
25, 18, 6, 20, 1000, 36, 5044.5, 177.489115139
25, 18, 6, 20, 1000, 37, 5169.0, 172.359047766
25, 18, 6, 20, 1000, 38, 4645.5, 158.422945257
25, 18, 6, 20, 1000, 39, 4900.5, 166.242841471
25, 18, 6, 20, 1000, 40, 5166.0, 168.108465514
25, 18, 6, 20, 1000, 41, 5331.0, 169.945635803
25, 18, 6, 20, 1000, 42, 4532.25, 168.893112753
25, 18, 6, 20, 1000, 43, 5204.25, 169.098980545
25, 18, 6, 20, 1000, 44, 4614.75, 178.062816483
25, 18, 6, 20, 1000, 45, 5484.75, 162.910258433
25, 18, 6, 20, 1000, 46, 5095.5, 164.544540285
25, 18, 6, 20, 1000, 47, 5246.25, 167.708083789
25, 18, 6, 20, 1000, 48, 4997.25, 178.194454401
25, 18, 6, 20, 1000, 49, 4888.5, 176.614020629
25, 18, 6, 20, 1000, 50, 5922.0, 170.28992128
