Inbound Trailers, Outbound Trailers, Doors,population, iterations, iter, Objective, Solution time
65, 50, 18, 20, 1000, 1, 0.0, 3836.942720817
65, 50, 18, 20, 1000, 2, 0.0, 3408.92924236
65, 50, 18, 20, 1000, 3, 0.0, 3500.752843018
65, 50, 18, 20, 1000, 4, 3.75, 3432.157355805
65, 50, 18, 20, 1000, 5, 0.0, 3183.65281875
65, 50, 18, 20, 1000, 6, 9.0, 3326.152529277
65, 50, 18, 20, 1000, 7, 0.0, 3525.211287212
65, 50, 18, 20, 1000, 8, 0.0, 3152.869595952
65, 50, 18, 20, 1000, 9, 3.75, 3702.788479451
65, 50, 18, 20, 1000, 10, 0.0, 3484.052819199
65, 50, 18, 20, 1000, 11, 0.0, 3134.574153454
65, 50, 18, 20, 1000, 12, 0.0, 3594.392760889
65, 50, 18, 20, 1000, 13, 0.0, 3357.782715921
65, 50, 18, 20, 1000, 14, 0.0, 3568.935731105
65, 50, 18, 20, 1000, 15, 0.0, 3285.125885932
65, 50, 18, 20, 1000, 16, 0.0, 3832.351895267
65, 50, 18, 20, 1000, 17, 66.0, 3683.686278717
65, 50, 18, 20, 1000, 18, 36.0, 3571.00050468
65, 50, 18, 20, 1000, 19, 0.0, 3566.587882333
65, 50, 18, 20, 1000, 20, 0.75, 3389.775658404
65, 50, 18, 20, 1000, 21, 0.0, 3571.524961674
65, 50, 18, 20, 1000, 22, 22.5, 3432.680652679
65, 50, 18, 20, 1000, 23, 0.0, 3548.060746221
65, 50, 18, 20, 1000, 24, 0.0, 3670.866050141
