Inbound Trailers, Outbound Trailers, Strip Doors, Stack Doors, population, iterations, iter, Objective, makespan, Sol Time
18, 25, 4, 8, 20, 1000, 1, 439.5,1075.0,248.508128851
18, 25, 4, 8, 20, 1000, 2, 439.5,1061.0,220.607186011
18, 25, 4, 8, 20, 1000, 3, 439.5,1131.0,228.768947708
18, 25, 4, 8, 20, 1000, 4, 439.5,1040.0,233.620321917
18, 25, 4, 8, 20, 1000, 5, 439.5,1067.0,220.303901515
18, 25, 4, 8, 20, 1000, 6, 439.5,1060.0,206.549537002
18, 25, 4, 8, 20, 1000, 7, 439.5,1052.75,208.588365089
18, 25, 4, 8, 20, 1000, 8, 439.5,1041.5,210.073403173
18, 25, 4, 8, 20, 1000, 9, 439.5,953.0,213.773052691
18, 25, 4, 8, 20, 1000, 10, 439.5,1125.5,206.901563088
18, 25, 4, 8, 20, 1000, 11, 464.25,1064.0,229.18918066
18, 25, 4, 8, 20, 1000, 12, 439.5,1067.0,215.207116493
18, 25, 4, 8, 20, 1000, 13, 439.5,1001.5,222.698919549
18, 25, 4, 8, 20, 1000, 14, 439.5,1048.0,213.967656981
18, 25, 4, 8, 20, 1000, 15, 439.5,1010.25,226.166732101
18, 25, 4, 8, 20, 1000, 16, 439.5,1121.5,211.384021813
18, 25, 4, 8, 20, 1000, 17, 439.5,1085.75,217.743389144
18, 25, 4, 8, 20, 1000, 18, 439.5,1012.0,218.865290348
18, 25, 4, 8, 20, 1000, 19, 439.5,965.0,226.776831305
18, 25, 4, 8, 20, 1000, 20, 439.5,1118.5,206.589105037
18, 25, 4, 8, 20, 1000, 21, 439.5,1154.0,224.701664495
18, 25, 4, 8, 20, 1000, 22, 439.5,1093.5,213.899578111
18, 25, 4, 8, 20, 1000, 23, 439.5,1166.0,221.572456108
18, 25, 4, 8, 20, 1000, 24, 439.5,1112.0,217.262869171
18, 25, 4, 8, 20, 1000, 25, 439.5,1144.0,206.738541715
18, 25, 4, 8, 20, 1000, 26, 439.5,1147.25,229.760954267
18, 25, 4, 8, 20, 1000, 27, 439.5,1032.5,230.706094576
18, 25, 4, 8, 20, 1000, 28, 439.5,1040.75,220.577107517
18, 25, 4, 8, 20, 1000, 29, 439.5,1091.0,215.267730533
18, 25, 4, 8, 20, 1000, 30, 449.25,1052.0,231.250419971
18, 25, 4, 8, 20, 1000, 31, 439.5,1199.0,203.878634204
18, 25, 4, 8, 20, 1000, 32, 439.5,1072.0,225.731410279
18, 25, 4, 8, 20, 1000, 33, 439.5,1063.0,233.026640958
18, 25, 4, 8, 20, 1000, 34, 439.5,1069.0,228.769199943
18, 25, 4, 8, 20, 1000, 35, 439.5,1109.5,228.072141082
18, 25, 4, 8, 20, 1000, 36, 439.5,1281.25,207.191089956
18, 25, 4, 8, 20, 1000, 37, 439.5,1043.75,218.416809197
18, 25, 4, 8, 20, 1000, 38, 464.25,923.0,226.837368465
18, 25, 4, 8, 20, 1000, 39, 439.5,1091.0,206.94220756
18, 25, 4, 8, 20, 1000, 40, 439.5,1072.0,223.380000545
18, 25, 4, 8, 20, 1000, 41, 439.5,1047.5,230.64040957
18, 25, 4, 8, 20, 1000, 42, 439.5,1070.0,217.625780766
18, 25, 4, 8, 20, 1000, 43, 439.5,1049.0,225.534075523
18, 25, 4, 8, 20, 1000, 44, 439.5,1055.75,217.222449781
18, 25, 4, 8, 20, 1000, 45, 439.5,998.0,209.132014849
18, 25, 4, 8, 20, 1000, 46, 439.5,995.0,221.481075426
18, 25, 4, 8, 20, 1000, 47, 439.5,1100.0,230.606419776
18, 25, 4, 8, 20, 1000, 48, 439.5,1079.5,222.526320764
18, 25, 4, 8, 20, 1000, 49, 439.5,1100.0,228.012039636
18, 25, 4, 8, 20, 1000, 50, 439.5,1137.5,198.789441599
