Inbound Trailers, Outbound Trailers, Strip Doors, Stack Doors, population, iterations, iter, Objective, makespan, Sol Time
65, 50, 6, 12, 20, 1000, 1, 0.0,1203.0,3254.181470932
65, 50, 6, 12, 20, 1000, 2, 0.75,1317.75,3306.153451046
65, 50, 6, 12, 20, 1000, 3, 0.0,1244.0,2982.40001253
65, 50, 6, 12, 20, 1000, 4, 0.0,1304.25,3061.713779448
65, 50, 6, 12, 20, 1000, 5, 28.5,1265.0,2890.293808667
65, 50, 6, 12, 20, 1000, 6, 0.0,1308.0,2887.213328338
65, 50, 6, 12, 20, 1000, 7, 0.0,1225.75,3033.490309772
65, 50, 6, 12, 20, 1000, 8, 6.0,1274.75,3053.330238422
65, 50, 6, 12, 20, 1000, 9, 9.75,1326.0,3004.00069792
65, 50, 6, 12, 20, 1000, 10, 0.0,1306.5,3004.392755592
65, 50, 6, 12, 20, 1000, 11, 0.0,1260.75,3274.037489491
65, 50, 6, 12, 20, 1000, 12, 21.75,1179.0,3410.731805322
65, 50, 6, 12, 20, 1000, 13, 12.75,1219.5,3256.111588513
65, 50, 6, 12, 20, 1000, 14, 0.75,1340.0,3282.960781172
65, 50, 6, 12, 20, 1000, 15, 0.0,1236.25,3297.550193911
65, 50, 6, 12, 20, 1000, 16, 0.0,1265.0,3279.755337132
65, 50, 6, 12, 20, 1000, 17, 0.0,1316.0,3273.787744441
65, 50, 6, 12, 20, 1000, 18, 6.0,1347.5,3028.33140299
65, 50, 6, 12, 20, 1000, 19, 0.0,1323.5,3134.910863714
65, 50, 6, 12, 20, 1000, 20, 0.75,1229.0,3019.049466633
65, 50, 6, 12, 20, 1000, 21, 0.75,1271.25,3062.021813453
65, 50, 6, 12, 20, 1000, 22, 8.25,1326.75,2825.074286427
65, 50, 6, 12, 20, 1000, 23, 0.0,1321.0,3015.306722035
65, 50, 6, 12, 20, 1000, 24, 3.75,1184.25,3086.44885365
65, 50, 6, 12, 20, 1000, 25, 0.0,1259.0,2874.33377209
65, 50, 6, 12, 20, 1000, 26, 30.75,1326.5,3015.020655101
65, 50, 6, 12, 20, 1000, 27, 27.75,1300.75,3058.331260526
